"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"P00001",19.3548039567022,18.9631290092182,19.0688084660107,18.4018960402474,19.0795013046468,18.8625541985311,19.758902483497,19.5865584880339,19.7753072910142,19.5317760526241,19.1184498312103,NA,19.9992792368162,19.7275421235111,19.5991998754212,NA,20.6341373620111,20.3120121645443,20.026919565594,20.1469897463344,20.2791012208426,20.3046460700668,19.870565515232,20.277085618041
"P00002",NA,20.1289978356623,19.5004019548666,20.4629662249974,19.2702064667553,20.4260121363277,20.3803124622334,20.1556130564774,20.4833401743404,20.3386072829219,20.6666930199981,20.8945188878456,19.4961563660635,20.6873852731763,20.1246145797573,20.4028119621605,21.0905264952346,19.7551193731903,21.0247228113988,20.7143605816221,21.1532086830126,NA,20.9207512505332,20.6226354627637
"P00003",20.5242619422127,20.7307411105902,20.387980878025,NA,20.8712272912858,20.4399649439369,20.5164099118028,20.2675011670019,NA,20.6566966379267,20.342183333936,20.7633490905403,20.5215096331897,NA,NA,20.5806888548373,20.7469999223256,21.3022604446869,20.9961403781761,NA,20.8899627903502,NA,21.1591861711419,NA
"P00004",19.2232445588234,20.0864870742971,19.4295233605487,20.1940169634256,19.6594855551089,20.4210444976678,18.8225869360765,NA,NA,20.3674071633979,19.9453776487283,20.625966870138,20.3520203376582,20.2122419581087,19.7136725109835,19.9781074557693,20.4304162019896,21.0054698607034,NA,20.3601841761196,21.0424842857374,20.957406480879,NA,20.8401788813712
"P00005",19.0752129018196,18.0963379105471,19.138514914177,19.4889725962342,19.5315524541666,19.2648453957733,18.4552340587514,18.8638247606514,18.9049139964353,19.3848410776753,20.19057102116,19.5976303363498,18.7916084004634,19.7925408833573,19.4478573019258,18.9902955965407,19.8605647806776,20.0443084490923,20.0478488220883,19.4495974928478,NA,19.1334990398167,NA,20.2623823908728
"P00006",19.3564751426204,18.6392477835338,18.5682090471617,18.9019184160565,19.0590281983962,17.8594981531428,19.0572909412998,19.1258522650418,19.9827536887089,19.8533818255523,19.4725150355983,NA,20.7811293185051,20.3814485675464,20.3974084221822,20.6366569008592,20.0938093378773,21.558699298329,20.9669265757987,21.0304476712506,21.1154247013482,19.9035131460609,21.4484469991075,20.6893938552631
"P00007",NA,20.081308297743,19.6447642198066,19.9150834889745,NA,20.4684353164772,19.9381360876317,19.6594820477732,20.2069019543749,20.9536327435741,20.4633203877218,NA,20.6610044659223,20.9560690461813,20.9227794351277,20.5659552255094,21.2203114601809,21.3307730726315,21.0497167381638,21.3650032770914,21.1732260559309,21.5469392011242,NA,NA
"P00008",19.4851991975096,20.1956509860365,NA,19.3079488230777,19.0608566724328,19.3302518946128,NA,NA,20.8485058503511,20.1628721194152,20.7112926976247,20.6066485077494,20.2024851575385,20.0905283794925,19.8292115937873,19.9274309578983,20.2828116534909,20.7250711423101,20.9551865462744,NA,NA,20.6921944065154,21.1828745666306,20.5959913471375
"P00009",19.0662171220584,19.5875991405128,19.0162760363702,19.4027984730581,19.835920768528,18.4709868845292,NA,19.3244129094486,20.2617837434912,18.5659821429169,NA,19.835319894948,19.7864860297158,19.5438562764928,20.1646412517789,19.8261845547248,20.1297602659009,19.3426671524941,20.466074034737,NA,20.6959003891185,20.3946926358099,20.3208354465795,20.7270181188826
"P00010",NA,19.3327176538139,20.1307211682892,20.5378516950518,20.5166330449236,19.2556568081499,19.7272648073152,20.0062297026115,20.8850799995783,20.4256380816593,NA,20.1833337170079,NA,19.6541183643406,19.3614996267489,20.4396918623021,20.8769596190468,NA,20.894909973613,20.7319559084201,20.4310762966779,20.7949475902919,20.7457593084703,20.6391762811713
"P00011",19.505842580749,19.2489476505709,19.3685926154581,19.1608645943652,19.2904135038346,19.6643032408796,NA,19.8401286150912,20.1335697373583,19.9343877256717,19.920657696796,19.8598831015739,NA,19.6219408070413,19.9260184500817,18.7173783517062,19.3905048608213,19.9260835343027,20.184180471888,20.374525271281,20.1967463203232,19.8110800055523,20.5097612408241,20.5831126862468
"P00012",NA,18.3066210369238,19.5277212193247,18.6853940035178,19.3553842978852,NA,17.7145083692711,19.0309994614613,19.8922665512378,19.4103314800202,NA,19.5523440507395,20.4724278369086,19.2665115805513,20.7923309868405,NA,20.6655329867547,21.436917996757,21.2987523957207,21.3937355626086,21.1931061380781,21.563164793655,NA,NA
"P00013",19.183752020285,19.1980817665511,18.7211213006783,19.3777320178047,19.3165788004963,18.7934237685806,19.4964259792389,19.045587020222,19.9993797024179,19.1628885596798,19.0516118023286,20.0130543638412,19.6006009172091,19.4808528481401,19.3312227693012,19.4119994468496,19.8244466537153,20.0051592504774,19.6718423558166,19.6440131340051,19.7221343203682,19.2485725250773,18.6535012765092,20.3390912674957
"P00014",NA,19.8163815051867,19.8485049760034,20.0163261337119,20.3379689885434,NA,20.4824232300712,19.766427865519,20.4315866067071,20.1293459454481,20.802784076306,20.4568088795333,21.0686368095368,NA,NA,NA,22.1702724082412,21.5250481778006,NA,21.7460943187125,22.2469334253087,22.3621806569466,22.1286303372588,NA
"P00015",19.7308148199344,20.0292545162107,19.9595488178998,20.2137803501044,20.2186278058879,19.8388254777007,19.1599469623459,20.0305560882358,20.1038879227655,20.7551219631941,20.2130888411882,20.3605741045972,20.1000433449673,NA,19.6130516204217,NA,19.8615280983334,20.9412514731525,19.764650091952,20.5336212271698,20.6098788255292,20.1883073836599,20.7174377018871,21.2232919009143
"P00016",16.6336841590777,16.5960008170975,17.0110027775501,17.0339719938112,17.0657780788838,17.1571857276344,17.1444293756507,17.4526876124543,17.9270302822054,16.9294134520885,17.6054587731118,16.6585552973002,17.5159716614138,17.0328105151621,17.1291974979933,17.5156412536523,17.7572213338392,17.5792792887487,18.1349961732098,17.8235048223378,17.7151504242771,16.8854058381878,18.1317637225403,17.6966749565385
"P00017",20.166110374857,18.7039938641739,19.6062411935894,19.9914665036909,18.7463210209407,NA,19.8457842655456,19.5136364743209,20.2858500518186,18.8947708209629,20.3373384626221,20.12565032972,19.396603202978,19.1925673755887,20.3291709671204,20.0996388655852,19.7885442696679,NA,20.3957067171391,20.4668979560693,20.1656635328292,20.0362466112825,20.2877776913501,20.1560108880882
"P00018",20.104148672449,20.1644653266018,20.17541828514,19.6544543818427,20.0916252619743,19.5460770729614,20.0786859611067,19.4077665874693,20.8669582646817,21.0825028483276,20.0234116647301,20.3394150536168,20.2016594265659,19.7775751373875,19.9253723153258,19.8109357624721,21.037098908112,20.0400311451246,20.8881071035466,20.1307483394698,21.329103689293,NA,21.4069490171795,NA
"P00019",18.9228311191814,18.8159032157702,18.7474845732442,19.110470710944,19.4599802012342,19.5223930460702,19.9354288009273,19.4155560324606,19.8760129981319,20.0119376711139,19.3392926162529,19.9061828134666,19.7991260696897,18.9131731631173,19.3735182350512,19.1247430317142,20.2106969307098,20.8266943671824,19.7819401821216,20.0360239126396,20.601062366447,20.6962120146989,20.2610858645979,20.6769384160252
"P00020",19.4626347195798,19.5053573286449,19.439963348262,NA,19.4403343142003,19.7741653362479,18.9434886626849,19.9377592697504,20.3705260742111,19.9547334321548,20.2521662754438,20.3521194068589,20.1699762539965,19.4046107536136,NA,19.981025154692,20.4016228116529,20.161360967212,20.3700188010477,20.1494774753841,20.856409963911,19.7681682839815,20.0420611536353,20.6120171190345
