"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"P00001",NA,NA,20.5492644965799,20.1538768093526,19.4633126922633,20.0146749256598,19.0052084941181,20.1788915528406,20.6501103476665,20.4392803760192,20.4441787839618,20.0106623568198,20.255166958439,19.2880309309865,23.5105375673006,NA,20.442267974791,NA,20.7088871206379,20.7104670428748,19.8611556287523,20.8069155592447,20.1138663119433,20.2167722713809
"P00002",18.0403425035184,19.3212859104317,19.0142251599455,19.0396067214393,19.7159293806925,19.8044136484095,18.9872746003708,19.5683331068929,20.0990989979782,19.8551824215044,19.9305687613949,19.4307115773212,19.501356930493,20.0883863416641,23.4472943570214,19.9855571903223,19.5454787722349,20.3283992325076,20.4510114316164,20.2947393664391,20.3893512782302,20.4989998730714,20.3652125517709,NA
"P00003",NA,19.6443750753575,19.9435408212165,19.2202385328949,19.8221111846499,19.7375291516261,NA,20.2440088712949,20.8312567002903,20.2917625447578,20.4493531613753,21.3039238187383,NA,20.5021583576755,23.5026707614761,20.5425848675367,20.3300267651411,20.9895746495916,21.1132347814617,NA,20.7039445388861,20.8491802488282,21.0506337782261,20.9303291654494
"P00004",20.1195686305567,20.2118829099928,19.7323702106207,19.6015293378527,20.2738556790436,20.4146987704923,19.7295514511762,19.6564773299473,NA,NA,20.0615550551491,NA,20.559501135241,19.6244357262963,23.2061649188967,20.3279138829154,20.6985412785614,20.6876380872571,21.0612171781016,19.9016110421493,21.5786985354526,20.8945339430987,21.3408514622171,21.3169970967592
"P00005",19.2029005757083,18.2627209525577,18.9954719534092,18.4981194076822,19.0866125777381,19.4115270383883,18.9942278219288,19.4995291046612,20.1055190928141,19.4653353199176,NA,19.3834455678435,19.4400388763438,18.5227779274519,22.9112129520231,19.7481542276393,20.2520819256718,20.1102939543834,19.6713106068542,19.1795886137016,20.4184844637198,19.5831045597704,19.8384250277697,19.8074913612877
"P00006",20.0516942694113,20.2252096122536,20.0737523215725,19.9610499392493,19.6253710538027,NA,19.2862863116714,20.3947787472842,20.550833685111,20.6855556362021,20.1452545861259,20.3957682947981,22.32166404262,22.5808712977295,NA,22.0647378051801,22.3801145410056,NA,NA,23.2135800674325,22.9843024566426,22.3914214398823,22.8864340434848,23.0443236071193
"P00007",18.9971132143006,18.6702508233923,19.0832840772867,19.1909958529531,19.387040182286,18.8725754458931,18.6079126629246,NA,19.6618682833377,19.0476056070591,19.8662361708558,19.7124017762988,20.0844223399089,20.1680284389858,24.3062237655809,20.9178936175221,20.9416528274254,NA,21.2454636758798,20.3609179023821,20.7980923261192,20.7740945715167,21.5382250391555,21.1552392501193
"P00008",19.8448979784832,19.9051766436996,19.8443929395656,20.2778179946669,19.9851205473088,20.3849881826205,19.555228248848,19.3562722336779,20.8663148117576,20.1779509935914,20.2723452085268,20.4380521441048,NA,20.8102062849289,23.4834576416173,20.0952117119606,NA,20.7268436335584,20.1795956442999,20.8334270917531,20.4762846808228,21.1969906696041,21.003070946731,20.4459681000024
"P00009",19.9577954374244,19.6982831493375,19.3129066940122,19.9039188593463,19.3369809250328,NA,NA,NA,20.1581031208247,20.0114295114714,20.1851640357254,20.5699540772999,NA,20.2429475067264,23.6013704597152,19.7188163628239,20.3659002340798,19.8215893158181,NA,20.7234240693775,20.3667361571169,20.8587642088154,20.6914814607214,NA
"P00010",18.5403151521386,18.1023070879529,19.3379154527709,19.2444802041032,19.6392995345668,19.8714691104123,19.4723951299932,19.1127248008536,18.886560479129,19.6859193029914,19.3153664430925,19.7606951811283,19.7251672290777,19.7251570902489,22.307961013865,19.6059811092529,20.0710866769539,20.5216360155267,20.4382992025634,20.1131713745756,20.564946978549,18.9035541964796,20.0297553932093,NA
"P00011",19.7449074984487,20.1551549118201,19.6808404263471,19.6942691086061,19.2848111018221,19.1060599979209,20.2440840980879,19.3420958816925,20.2204229233863,20.1681621762267,19.8952022450793,NA,20.57888909103,18.6193360429934,23.1715085128857,NA,20.7251475738216,NA,20.4661982878699,20.3631193202288,20.649759358055,20.644100537674,20.2989150143959,NA
"P00012",18.3813058046517,19.5873603118325,18.6313439018163,19.5237898819989,19.392223055493,19.6103568740797,17.8206109489542,20.1181955842068,19.9991695506877,20.1488940603852,20.0511351171572,NA,20.0640240245042,19.8158191631285,22.0583037063167,19.9800711216848,20.7125200638691,20.3470905080707,20.3544813463023,20.634253048046,NA,20.6342912245146,NA,20.2092983646483
"P00013",19.8464529826708,19.4892435139142,20.314183375743,19.4118508263048,19.9058453317195,19.0657952487662,NA,18.8576534388101,19.6660601600757,20.2398388837229,19.576288731042,20.4655750701127,20.2079665808482,19.8079874337835,NA,19.8357634734957,20.070997019528,NA,20.2452624411175,19.6996816002366,20.063921863789,20.1912553313619,20.6752417155608,20.5960213820534
"P00014",19.5354573890724,20.2054042557435,20.4061902471057,20.8872089628634,20.8133790534488,20.2405087806584,20.6965122077927,20.5579308773723,NA,20.9931975359676,20.986104410183,20.9431840166297,NA,20.5341154572918,24.0734080431697,20.4488638345989,20.8704071403716,21.2242018608383,NA,NA,NA,21.6423494884939,21.0393787031139,NA
"P00015",18.8390941882873,18.622376932522,19.5954469843647,19.0454713455574,18.9910009392386,19.4754868331893,18.9688539982943,18.6363156534893,19.6152699349072,19.5723611737032,19.2488762796865,18.8935176626742,18.6955397668569,18.5780824003337,22.8251555388507,19.0403739429787,19.8297165074954,19.4531078254507,19.9161240502972,20.0807118490339,19.6996941928721,20.0076809690147,19.7783870936453,20.0998021983175
"P00016",NA,19.0475563442407,19.7614357407322,19.5952556608095,19.7415080768296,NA,NA,NA,NA,20.5453660190758,20.2018469892402,20.4597627736143,20.2785620714905,19.9420334244104,NA,20.4040746026451,20.4263192865685,20.9437629041738,20.4190808672973,21.143587297098,21.3220234423358,20.75376302035,21.2678540831068,21.0494443944054
"P00017",19.63310095429,19.5356526943732,NA,19.9041100687804,NA,19.8361925739807,18.6456662362454,19.66796544259,20.3194561344701,20.1683016563125,20.2258000394784,NA,20.144192303773,19.3458165244966,NA,19.1926014569354,20.7670221555294,20.879896080772,20.940369641543,20.8263371330591,20.3731720212329,NA,20.1427334042993,20.5369998753281
"P00018",NA,19.5189697153112,19.7911757526035,18.9383368365234,19.2181217795451,20.0760816604095,18.9760062164464,19.2354475709363,19.8958855165227,19.8687758266785,19.2765163700609,20.0529646146329,21.5770442753196,21.9671380104262,24.5031090052798,21.4731954591906,NA,22.180402757169,21.6696736122469,21.6283739848626,22.3340995811568,NA,22.0878199121887,22.0102671002172
"P00019",20.1275305360559,20.0060908730908,20.163532226048,19.9609358720897,19.3118134479486,19.7507040219954,19.489713826527,19.8879016376069,NA,20.2893347983265,NA,NA,20.6441563004634,20.540726196078,23.5002663938236,NA,20.0382591305373,20.9564908790448,20.0751632867888,20.6370945727425,21.1560625609847,21.3399356406316,19.7006510172319,20.6879286795454
"P00020",19.0636259911182,20.0342987480863,19.4174085216025,19.2862230485432,19.5493172532516,19.4976424059027,19.3044889498446,19.1997376708224,19.8395678922999,19.5255311480808,20.1258750870446,19.9888209325458,19.2294855625758,20.0774597809983,22.5594579200361,19.0788947326043,NA,19.3986827971858,20.1715257752462,20.0929693625784,19.6263020630801,NA,19.9826395680279,20.2805682022817
"P00021",20.0994092989065,19.8616224058522,NA,20.2522452881931,20.3457085465185,NA,20.585529575694,NA,20.0213470185186,20.5723050766019,20.9816649306574,20.2144405024289,20.5802108341054,20.5549918814274,23.867781209136,21.0924140950881,21.1667267819319,21.4211950508198,21.1519061791553,21.0660775847349,21.2739278547302,20.4260630461014,21.3655020559877,20.0331980062972
"P00022",19.7961714691479,18.9440117424733,20.2125184052283,18.894207200725,19.5732924915138,20.1041171569836,19.9793727375567,NA,20.3944573687722,NA,NA,20.8628665780764,19.6614676352032,NA,22.8339130275849,NA,20.5029250934454,19.8779984566425,21.0055191518792,20.233850907377,NA,20.9740244271686,NA,20.2986969251339
